ВВП в текущих ценах,Безработица,Дефицит денежного дохода,ВВП в ценах 2000 года
7305.6,10.6,5.0,6077.87
8943.6,9.0,4.5,6274.75
10830.5,7.9,3.7,6604.02
13208.2,8.2,2.6,7191.58
17027.2,7.8,2.1,8296.88
21609.8,7.1,2.1,9494.06
26917.2,7.1,1.6,10849.37
33247.5,6.0,1.3,11978.98
41276.8,6.2,1.3,13128.46
38807.2,8.3,1.2,11344.65
46308.5,7.3,1.2,12444.87
55967.2,6.5,1.2,14175.81
68103.4,5.5,0.9,16184.8
72985.7,5.5,0.9,16294.12
79030.0,5.2,1.0,15843.67
83087.4,5.6,1.3,14752.53
85616.1,5.5,1.3,14425.43
91843.2,5.2,1.3,15094.25
103861.7,4.8,1.2,16370.45
109608.3,4.6,1.2,16764.89
107658.1,5.8,1.2,15695.93
134727.5,4.8,1.0,18122.05
156940.9,4.0,0.8,18861.64
176413.6,3.2,0.7,19737.42
201152.1,2.5,0.5,20550.82
